age,female,male,total,date,quarter,year
Under 15,17,NA,17,2023-01-01,Quarter 1,2023
15-17,251,NA,251,2023-01-01,Quarter 1,2023
18-19,412,NA,412,2023-01-01,Quarter 1,2023
20-24,1997,NA,1997,2023-01-01,Quarter 1,2023
25-29,2117,3,2120,2023-01-01,Quarter 1,2023
30-34,2021,1,2022,2023-01-01,Quarter 1,2023
35-39,1561,8,1569,2023-01-01,Quarter 1,2023
40-44,979,7,986,2023-01-01,Quarter 1,2023
Over 44,563,3,566,2023-01-01,Quarter 1,2023
Total,9918,22,9940,2023-01-01,Quarter 1,2023
Under 15,30,NA,30,2023-04-01,Quarter 2,2023
15-17,254,NA,254,2023-04-01,Quarter 2,2023
18-19,462,NA,462,2023-04-01,Quarter 2,2023
20-24,2026,NA,2026,2023-04-01,Quarter 2,2023
25-29,2158,0,2158,2023-04-01,Quarter 2,2023
30-34,1867,4,1871,2023-04-01,Quarter 2,2023
35-39,1525,15,1540,2023-04-01,Quarter 2,2023
40-44,985,11,996,2023-04-01,Quarter 2,2023
Over 44,564,4,568,2023-04-01,Quarter 2,2023
Total,9871,34,9905,2023-04-01,Quarter 2,2023
Under 15,13,NA,13,2023-07-01,Quarter 3,2023
15-17,181,NA,181,2023-07-01,Quarter 3,2023
18-19,299,NA,299,2023-07-01,Quarter 3,2023
20-24,1633,NA,1633,2023-07-01,Quarter 3,2023
25-29,1732,2,1734,2023-07-01,Quarter 3,2023
30-34,1639,5,1644,2023-07-01,Quarter 3,2023
35-39,1312,2,1314,2023-07-01,Quarter 3,2023
40-44,834,10,844,2023-07-01,Quarter 3,2023
Over 44,486,5,491,2023-07-01,Quarter 3,2023
Total,8129,24,8153,2023-07-01,Quarter 3,2023
Under 15,12,NA,12,2023-10-01,Quarter 4,2023
15-17,130,NA,130,2023-10-01,Quarter 4,2023
18-19,267,NA,267,2023-10-01,Quarter 4,2023
20-24,1359,NA,1359,2023-10-01,Quarter 4,2023
25-29,1550,2,1552,2023-10-01,Quarter 4,2023
30-34,1362,7,1369,2023-10-01,Quarter 4,2023
35-39,1191,7,1198,2023-10-01,Quarter 4,2023
40-44,700,6,706,2023-10-01,Quarter 4,2023
Over 44,442,5,447,2023-10-01,Quarter 4,2023
Total,7013,27,7040,2023-10-01,Quarter 4,2023
